Time	zen	dw_solar	G_pers	Ics	G_psm	G_nam
2015-01-01 00:00:00	102.309	0	0	0	0	NA
2015-01-01 01:00:00	111.005	0	0	0	0	NA
2015-01-01 02:00:00	121.721	0	0	0	0	NA
2015-01-01 03:00:00	132.508	0	0	0	0	NA
2015-01-01 04:00:00	142.935	0	0	0	0	NA
2015-01-01 05:00:00	152.131	0	0	0	0	NA
2015-01-01 06:00:00	158.133	0	0	0	0	NA
2015-01-01 07:00:00	158.108	0	0	0	0	NA
2015-01-01 08:00:00	152.072	0	0	0	0	NA
2015-01-01 09:00:00	142.86	0	0	0	0	NA
2015-01-01 10:00:00	132.427	0	0	0	0	NA
2015-01-01 11:00:00	121.633	0	0	0	0	NA
2015-01-01 12:00:00	110.914	0	0	0	0	NA
2015-01-01 13:00:00	100.577	0	0	0	0	NA
2015-01-01 14:00:00	90.737	5.727	6.513	5.658	0	NA
2015-01-01 15:00:00	82.182	95.598	106.07	106.929	8	NA
2015-01-01 16:00:00	75.083	161.187	242.273	234.075	34	NA
2015-01-01 17:00:00	69.898	240.333	352.338	333.49	351	NA
2015-01-01 18:00:00	67.145	383	347.428	386.4	406	NA
2015-01-01 19:00:00	67.14	375.197	398.115	386.518	407	NA
2015-01-01 20:00:00	69.882	252.497	342.602	333.829	66	NA
2015-01-01 21:00:00	75.058	155.783	240.323	234.593	250	NA
2015-01-01 22:00:00	82.151	83.813	105.962	107.497	114	NA
2015-01-01 23:00:00	90.702	8.515	7.23	5.851	0	NA
2015-01-02 00:00:00	100.536	0	0	0	0	NA
2015-01-02 01:00:00	110.869	0	0	0	0	NA
2015-01-02 02:00:00	121.584	0	0	0	0	NA
2015-01-02 03:00:00	132.374	0	0	0	0	NA
2015-01-02 04:00:00	142.799	0	0	0	0	NA
2015-01-02 05:00:00	152	0	0	0	0	NA
2015-01-02 06:00:00	158.026	0	0	0	0	NA
2015-01-02 07:00:00	158.054	0	0	0	0	NA
2015-01-02 08:00:00	152.067	0	0	0	0	NA
2015-01-02 09:00:00	142.88	0	0	0	0	NA
2015-01-02 10:00:00	132.456	0	0	0	0	NA
2015-01-02 11:00:00	121.665	0	0	0	0	NA
2015-01-02 12:00:00	110.941	0	0	0	0	NA
2015-01-02 13:00:00	100.597	0	0	0	0	NA
2015-01-02 14:00:00	90.743	3.927	5.727	5.648	0	NA
2015-01-02 15:00:00	82.175	51.722	95.598	107.079	19	NA
2015-01-02 16:00:00	75.054	116.952	161.187	234.627	42	NA
2015-01-02 17:00:00	69.847	207.202	240.333	334.499	103	NA
2015-01-02 18:00:00	67.07	354.38	383	387.867	412	NA
2015-01-02 19:00:00	67.041	397.695	375.197	388.411	412	NA
2015-01-02 20:00:00	69.767	342.397	252.497	336.066	357	NA
2015-01-02 21:00:00	74.931	224.688	155.783	237.017	252	NA
2015-01-02 22:00:00	82.019	65.002	83.813	109.674	115	NA
2015-01-02 23:00:00	90.559	6.395	8.515	6.57	0	NA
2015-01-03 00:00:00	100.397	0	0	0	0	NA
2015-01-03 01:00:00	110.729	0	0	0	0	NA
2015-01-03 02:00:00	121.444	0	0	0	0	NA
2015-01-03 03:00:00	132.234	0	0	0	0	NA
2015-01-03 04:00:00	142.659	0	0	0	0	NA
2015-01-03 05:00:00	151.865	0	0	0	0	NA
2015-01-03 06:00:00	157.911	0	0	0	0	NA
2015-01-03 07:00:00	157.992	0	0	0	0	NA
2015-01-03 08:00:00	152.054	0	0	0	0	NA
2015-01-03 09:00:00	142.894	0	0	0	0	NA
2015-01-03 10:00:00	132.481	0	0	0	0	NA
2015-01-03 11:00:00	121.689	0	0	0	0	NA
2015-01-03 12:00:00	110.963	0	0	0	0	NA
2015-01-03 13:00:00	100.611	0	0	0	0	NA
2015-01-03 14:00:00	90.746	5.365	3.927	5.671	0	NA
2015-01-03 15:00:00	82.159	77.44	51.722	107.342	33	NA
2015-01-03 16:00:00	75.018	126.102	116.952	235.315	69	NA
2015-01-03 17:00:00	69.788	219.945	207.202	335.651	157	NA
2015-01-03 18:00:00	66.986	161.43	354.38	389.481	125	NA
2015-01-03 19:00:00	66.936	170.978	397.695	390.444	180	NA
2015-01-03 20:00:00	69.645	173.743	342.397	338.435	126	NA
2015-01-03 21:00:00	74.797	103.725	224.688	239.56	137	NA
2015-01-03 22:00:00	81.881	36.962	65.002	111.919	44	NA
2015-01-03 23:00:00	90.412	1.603	6.395	7.373	0	NA
2015-01-04 00:00:00	100.252	0	0	0	0	NA
2015-01-04 01:00:00	110.585	0	0	0	0	NA
2015-01-04 02:00:00	121.3	0	0	0	0	NA
2015-01-04 03:00:00	132.088	0	0	0	0	NA
2015-01-04 04:00:00	142.514	0	0	0	0	NA
2015-01-04 05:00:00	151.723	0	0	0	0	NA
2015-01-04 06:00:00	157.79	0	0	0	0	NA
2015-01-04 07:00:00	157.921	0	0	0	0	NA
2015-01-04 08:00:00	152.036	0	0	0	0	NA
2015-01-04 09:00:00	142.901	0	0	0	0	NA
2015-01-04 10:00:00	132.498	0	0	0	0	NA
2015-01-04 11:00:00	121.709	0	0	0	0	NA
2015-01-04 12:00:00	110.979	0	0	0	0	NA
2015-01-04 13:00:00	100.618	0	0	0	0	NA
2015-01-04 14:00:00	90.741	5.765	5.365	5.725	0	NA
2015-01-04 15:00:00	82.137	99.88	77.44	107.715	53	NA
2015-01-04 16:00:00	74.976	253.928	126.102	236.139	262	NA
2015-01-04 17:00:00	69.721	357.472	219.945	336.945	373	NA
2015-01-04 18:00:00	66.895	414.235	161.43	391.236	432	NA
2015-01-04 19:00:00	66.824	364.582	170.978	392.615	434	NA
2015-01-04 20:00:00	69.515	315.087	173.743	340.936	378	NA
2015-01-04 21:00:00	74.658	246.723	103.725	242.221	271	NA
2015-01-04 22:00:00	81.738	107.902	36.962	114.269	128	NA
2015-01-04 23:00:00	90.262	6.55	1.603	8.233	0	NA
2015-01-05 00:00:00	100.105	0	0	0	0	NA
2015-01-05 01:00:00	110.437	0	0	0	0	NA
2015-01-05 02:00:00	121.153	0	0	0	0	NA
2015-01-05 03:00:00	131.941	0	0	0	0	NA
2015-01-05 04:00:00	142.366	0	0	0	0	NA
2015-01-05 05:00:00	151.576	0	0	0	0	NA
2015-01-05 06:00:00	157.661	0	0	0	0	NA
2015-01-05 07:00:00	157.842	0	0	0	0	NA
2015-01-05 08:00:00	152.007	0	0	0	0	NA
2015-01-05 09:00:00	142.901	0	0	0	0	NA
2015-01-05 10:00:00	132.511	0	0	0	0	NA
2015-01-05 11:00:00	121.725	0	0	0	0	NA
2015-01-05 12:00:00	110.989	0	0	0	0	NA
2015-01-05 13:00:00	100.619	0	0	0	0	NA
2015-01-05 14:00:00	90.729	5.582	5.765	5.812	0	NA
2015-01-05 15:00:00	82.108	49.003	99.88	108.199	36	NA
2015-01-05 16:00:00	74.927	76.502	253.928	237.097	79	NA
2015-01-05 17:00:00	69.647	72.948	357.472	338.38	105	NA
2015-01-05 18:00:00	66.796	76.822	414.235	393.132	118	NA
2015-01-05 19:00:00	66.703	75.307	364.582	394.923	146	NA
2015-01-05 20:00:00	69.38	88.287	315.087	343.563	24	NA
2015-01-05 21:00:00	74.513	76.42	246.723	244.999	38	NA
2015-01-05 22:00:00	81.589	43.352	107.902	116.724	42	NA
2015-01-05 23:00:00	90.106	4.797	6.55	9.15	0	NA
2015-01-06 00:00:00	99.952	0	0	0	0	NA
2015-01-06 01:00:00	110.286	0	0	0	0	NA
2015-01-06 02:00:00	121.003	0	0	0	0	NA
2015-01-06 03:00:00	131.788	0	0	0	0	NA
2015-01-06 04:00:00	142.213	0	0	0	0	NA
2015-01-06 05:00:00	151.424	0	0	0	0	NA
2015-01-06 06:00:00	157.525	0	0	0	0	NA
2015-01-06 07:00:00	157.755	0	0	0	0	NA
2015-01-06 08:00:00	151.972	0	0	0	0	NA
2015-01-06 09:00:00	142.895	0	0	0	0	NA
2015-01-06 10:00:00	132.516	0	0	0	0	NA
2015-01-06 11:00:00	121.73	0	0	0	0	NA
2015-01-06 12:00:00	110.993	0	0	0	0	NA
2015-01-06 13:00:00	100.614	0	0	0	0	NA
2015-01-06 14:00:00	90.713	6.32	5.582	5.933	0	NA
2015-01-06 15:00:00	82.074	80.005	49.003	108.789	20	NA
2015-01-06 16:00:00	74.869	166.705	76.502	238.195	44	NA
2015-01-06 17:00:00	69.567	238.743	72.948	339.961	54	NA
2015-01-06 18:00:00	66.691	289.697	76.822	395.173	72	NA
2015-01-06 19:00:00	66.577	272.17	75.307	397.367	90	NA
2015-01-06 20:00:00	69.237	221.758	88.287	346.317	105	NA
2015-01-06 21:00:00	74.362	152.727	76.42	247.893	60	NA
2015-01-06 22:00:00	81.435	76.827	43.352	119.282	40	NA
2015-01-06 23:00:00	89.947	7.208	4.797	10.124	0	NA
2015-01-07 00:00:00	99.796	0	0	0	0	NA
2015-01-07 01:00:00	110.13	0	0	0	0	NA
2015-01-07 02:00:00	120.847	0	0	0	0	NA
2015-01-07 03:00:00	131.635	0	0	0	0	NA
2015-01-07 04:00:00	142.056	0	0	0	0	NA
2015-01-07 05:00:00	151.267	0	0	0	0	NA
2015-01-07 06:00:00	157.383	0	0	0	0	NA
2015-01-07 07:00:00	157.66	0	0	0	0	NA
2015-01-07 08:00:00	151.929	0	0	0	0	NA
2015-01-07 09:00:00	142.882	0	0	0	0	NA
